SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
0,102001,United States,Country,0.92,0.919047619,0.926966292,0.932262849,0.937052933,0.938086304,0.933955971,0.93255889,0.925925926,0.921568627,0.917874396,0.914086957,0.910910911,0.90952381,0.912838634,0.918604651,0.925370471,0.930776907,0.93135564,0.92890318,0.925001927,0.922769231,0.922222222,0.920935412,0.9194159,0.921052632,0.92920354,0.937630902,0.946236559,0.950594121,0.951766414,0.950002375,0.948298259,0.947712418,0.947176685,0.945762712,0.944654368,0.946666667,0.952607764,0.958333333,0.962981491,0.966128666,0.966325037,0.964074579,0.960640427,0.956775134,0.952834683,0.949438202,0.946153846,0.948148148,0.953678474,0.958399157,0.963265306,0.966109122,0.964513194,0.961281709,0.957359798,0.953462967,0.951048951,0.948314607,0.946745562,0.949974987,0.958493082,0.964444444,0.969529086,0.971412236,0.969899666,0.96686061,0.963636364,0.960320107,0.957914903,0.956521739,0.954773869,0.956719818,0.964590965,0.970194039,0.974385965,0.976253298,0.975609756,0.972972973,0.96969697,0.967336683,0.965250965,0.962591241,0.96069869,0.962740685,0.96969697,0.975001219,0.978865406,0.980952381,0.979768458,0.976442624,0.973782772,0.970873786,0.96875,0.966542751,0.964705882,0.96875,0.975,0.979591837,0.9825,0.983874142,0.981481481,0.977050782,0.972958356
1,394913,"New York, NY",Msa,0.9,0.897321429,0.898400212,0.90685413,0.911764706,0.920901446,0.921538462,0.92,0.917190751,0.909297568,0.910764401,0.905425279,0.9,0.899795501,0.897322742,0.903010033,0.904522613,0.91234361,0.921348315,0.920184037,0.908018868,0.902974504,0.892857143,0.890044496,0.883123034,0.889715097,0.890178036,0.89977221,0.908484747,0.917278185,0.926523791,0.925572415,0.920738814,0.918580376,0.916834273,0.918222399,0.913440626,0.918518519,0.912698413,0.92481203,0.937126226,0.945149026,0.950002771,0.953377554,0.949895616,0.944,0.940540541,0.937626527,0.936692161,0.93328792,0.935135135,0.934891486,0.948351241,0.955151515,0.957142857,0.95471904,0.948163014,0.941278066,0.93765725,0.936137471,0.933644548,0.933212197,0.933786078,0.943126608,0.949173301,0.953360022,0.959858809,0.958441558,0.952380952,0.947075209,0.943162815,0.94180644,0.939740008,0.939393939,0.942857816,0.945176204,0.95463138,0.959379465,0.963651324,0.962627407,0.958174905,0.955414013,0.953339587,0.950237559,0.949474398,0.94870265,0.951724138,0.958474611,0.964824121,0.967953687,0.971387697,0.970588235,0.966682778,0.964514989,0.961643836,0.960966543,0.957209034,0.954659319,0.959488273,0.962105263,0.969260593,0.972901947,0.974305915,0.971168787,0.966010733
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.962851824,0.955555556,0.966243419,0.969798658,0.969267139,0.968848242,0.968574196,0.964423489,0.958676747,0.954804334,0.950854701,0.945736434,0.946428571,0.940266783,0.945454545,0.950138562,0.951351351,0.951359084,0.951018561,0.948509485,0.942079553,0.944726848,0.944444444,0.945182471,0.944303938,0.948775056,0.950945324,0.959061006,0.965665236,0.974217465,0.976224656,0.978236704,0.979381443,0.982152811,0.983577241,0.98540146,0.991040711,0.99839257,1,1,1.000111123,1.000210594,1,1,0.998043053,0.987661942,0.981963928,0.979710145,0.976236787,0.979325354,0.983606557,0.98540146,0.985887097,0.984375,0.983539095,0.979166667,0.976162064,0.973333333,0.971941532,0.97059109,0.969605899,0.976220275,0.98101421,0.986589403,0.989247312,0.989560445,0.988538682,0.987167725,0.985341618,0.981036232,0.978279298,0.979583318,0.978067235,0.981785064,0.988211013,0.990243902,0.99270073,0.99285459,0.993250844,0.988971304,0.986215539,0.983621461,0.982832618,0.980392157,0.980364145,0.983355203,0.991073688,1,1,1,1,0.994594595,0.990720714,0.99047619,0.989377845,0.987368365,0.987983979,0.993179893,1,1,1,1,0.994027304,0.990548204,0.983606557
3,394463,"Chicago, IL",Msa,0.8811749,0.877301434,0.87964505,0.887233059,0.89482065,0.907876908,0.904584045,0.901502504,0.9,0.8928998,0.8840343,0.878103001,0.871428571,0.880503145,0.878588124,0.88,0.890903407,0.89852009,0.894736842,0.898181818,0.886448283,0.885780886,0.877142857,0.881763527,0.879017013,0.877972883,0.876923077,0.894308943,0.908148492,0.918724593,0.920945455,0.921589721,0.920941968,0.918238994,0.917176209,0.919763204,0.913275107,0.917355372,0.923756309,0.932891784,0.943589744,0.951564958,0.954581021,0.953129114,0.952017442,0.949177877,0.942287867,0.93902439,0.936684411,0.939849624,0.937291528,0.948453608,0.955414013,0.958439355,0.956937799,0.954581021,0.948573344,0.941382151,0.936247888,0.931232092,0.925581395,0.928571429,0.932773109,0.94644506,0.955555556,0.959425161,0.956521739,0.952968374,0.948509485,0.944108257,0.939666931,0.933823529,0.929032258,0.930232558,0.943396226,0.954663003,0.960784314,0.963101939,0.962962963,0.96069869,0.955390335,0.952046089,0.948598131,0.944444444,0.940940941,0.942860991,0.952380952,0.962627407,0.968,0.97037037,0.968253968,0.964279334,0.960768615,0.955684008,0.952380952,0.948834909,0.944499018,0.944444444,0.957142857,0.96803653,0.97051415,0.972078078,0.96969697,0.964974982,0.960912052
4,394514,"Dallas-Fort Worth, TX",Msa,0.97347565,0.972617167,0.986605556,0.986040044,0.989773644,0.984323619,0.973250883,0.967458397,0.97659757,0.96073541,0.956758613,0.942481689,0.944029433,0.946948529,0.954545455,0.960484136,0.963246667,0.963420502,0.956945946,0.96,0.9552,0.954451666,0.951515531,0.958083943,0.96710147,0.974797333,0.969338097,0.979091431,0.980771981,0.982431428,0.981881818,0.981882353,0.98109071,0.971830397,0.972296055,0.982069761,0.977478456,0.9809218,0.985136203,0.989491667,0.989137798,0.98691543,0.984990619,0.983829091,0.981595092,0.977101031,0.974332153,0.973268609,0.967268889,0.970899042,0.973333333,0.981939819,0.984383158,0.982753333,0.983606557,0.977343868,0.977715705,0.965443404,0.967552941,0.972375691,0.971426984,0.97077931,0.984410853,0.987071,0.991255172,1.000138462,0.98934,0.988605898,0.984956186,0.976190476,0.977953116,0.973499189,0.974554928,0.979263566,0.987901754,0.989764117,0.994684848,0.993364215,0.991442194,0.989992144,0.983334823,0.982352941,0.972197191,0.972235088,0.978414305,0.978346457,0.983734118,0.98934175,0.988693927,0.990859232,0.989108691,0.981776671,0.980383578,0.974088319,0.973259226,0.971909774,0.972222222,0.977089453,0.979991833,0.989046402,0.99064617,0.987309008,0.981776671,0.975120999,0.974003356
5,394974,"Philadelphia, PA",Msa,0.918644068,0.914285714,0.920184037,0.931152455,0.936647469,0.941433755,0.934456436,0.924548396,0.923787529,0.917647059,0.91469037,0.91,0.904241971,0.897097625,0.898736125,0.900566943,0.917241379,0.924449025,0.925200688,0.914939242,0.908245682,0.905323364,0.899984321,0.9006004,0.893211161,0.895050895,0.9,0.90681676,0.92,0.929648241,0.933413198,0.929312486,0.923195297,0.9194159,0.920745921,0.923333333,0.917176209,0.918888878,0.921568627,0.931603774,0.940806358,0.95,0.953759468,0.946457545,0.942278846,0.938086304,0.930310103,0.930680359,0.9285459,0.92449923,0.930665426,0.936,0.945333333,0.955455061,0.952204212,0.948313263,0.942616425,0.939649992,0.933062361,0.927979417,0.924369748,0.923965426,0.928836811,0.943870316,0.954768158,0.955020587,0.958732805,0.95159944,0.943396226,0.943600238,0.941175294,0.93807776,0.931034483,0.933333333,0.936170213,0.950432015,0.961538462,0.965517241,0.964705882,0.961780185,0.957446809,0.955223881,0.950950951,0.950116611,0.946132597,0.942670258,0.952185823,0.961523663,0.967567568,0.971881487,0.970588235,0.965517241,0.96294924,0.961281709,0.95734924,0.955223881,0.953125,0.949758289,0.956363636,0.963333333,0.971830986,0.977142857,0.975029727,0.973333333,0.966988996
6,394692,"Houston, TX",Msa,0.947179487,0.940763636,0.950424242,0.954548919,0.960195089,0.95533166,0.946235997,0.944060149,0.936454849,0.924887349,0.911788941,0.917846847,0.904638004,0.914311653,0.918819355,0.924358974,0.921784774,0.921214248,0.91424205,0.920181984,0.922587966,0.924142905,0.919657523,0.922860229,0.919329329,0.933889764,0.927836158,0.929291039,0.940235294,0.949623136,0.947039563,0.954568025,0.956055991,0.941049121,0.941509653,0.940393747,0.947284105,0.943301817,0.947930574,0.950223211,0.955237778,0.95597478,0.954948586,0.948989234,0.957901977,0.949122807,0.94100941,0.938125,0.941264281,0.942446022,0.948502802,0.957446809,0.957491936,0.964739637,0.956608,0.963789008,0.95466,0.949140354,0.944878334,0.950244444,0.967130273,0.962684549,0.969906643,0.970681656,0.977840225,0.981818182,0.972819636,0.971628348,0.965642821,0.957258887,0.96097561,0.953696,0.956837351,0.955387097,0.965229537,0.972361943,0.971444653,0.970505618,0.971159506,0.967475683,0.960384154,0.949276953,0.951822068,0.949094047,0.950693937,0.950304585,0.959625021,0.958530692,0.96673125,0.963087493,0.968300483,0.958852568,0.952352591,0.956289063,0.957012152,0.95075545,0.955791228,0.957306757,0.959741053,0.968082163,0.969371801,0.966891218,0.966352657,0.958429577,0.962097864
7,395209,"Washington, DC",Msa,0.950084837,0.951641095,0.954212725,0.964766019,0.965105475,0.965756581,0.961785073,0.957515173,0.954915025,0.955555556,0.954411765,0.952358266,0.945840244,0.944810977,0.955305146,0.962303584,0.963388209,0.966220042,0.963502565,0.959983994,0.950453626,0.947176685,0.95,0.948045431,0.941950677,0.947980855,0.957422549,0.969549259,0.974592573,0.975991649,0.974358974,0.970930233,0.971423999,0.970588235,0.971014493,0.969104245,0.966183575,0.969899666,0.979338843,0.987561726,0.990483589,0.993850851,0.991473997,0.987124199,0.983251911,0.981240981,0.976446773,0.973960754,0.967093023,0.972022621,0.979977354,0.985145029,0.988520408,0.987468672,0.981963928,0.977170777,0.972223573,0.970625798,0.967488071,0.961182443,0.95959596,0.964630225,0.975223489,0.982493748,0.986385107,0.985112817,0.980744212,0.976680541,0.972235725,0.970588235,0.96877502,0.964832894,0.963101939,0.96477216,0.975243811,0.984352083,0.988330555,0.986547085,0.985855122,0.98,0.976991441,0.977412068,0.976033544,0.971330699,0.971340642,0.973667585,0.983743226,0.991999273,0.992537723,0.991869919,0.988330555,0.983894986,0.982493748,0.982142857,0.980392157,0.974974464,0.973284672,0.97853765,0.988548726,0.998682477,1,1,0.993547693,0.987367878,0.98366122
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.88,0.865288429,0.869945365,0.866666667,0.878129924,0.892473118,0.905131579,0.909858606,0.904193921,0.906360068,0.906237687,0.902933588,0.905764492,0.903225806,0.891891892,0.891577061,0.892857143,0.897857397,0.903312145,0.912124583,0.914285714,0.909209283,0.911949686,0.917159763,0.91806929,0.919642857,0.919050551,0.917652457,0.923076923,0.92936803,0.932642487,0.938086304,0.9375,0.942403967,0.942235731,0.938762947,0.942751206,0.936170213,0.936842105,0.939849624,0.94224924,0.942945123,0.949152542,0.952380952,0.951903808,0.950229891,0.948717949,0.945454545,0.943852856,0.94,0.938219521,0.936819172,0.939393939,0.942285041,0.941176471,0.940827143,0.942289952,0.940435737,0.936454849,0.936708861,0.935294118,0.933333333,0.934285714,0.935779817,0.941998513,0.945736434,0.945454545,0.944549406,0.944644044,0.943396226,0.943090212,0.942776932,0.940286461,0.937734434,0.942028986,0.941584731,0.942093541,0.945945946,0.946154574,0.947368421,0.945330296,0.944794368,0.944123314,0.942105263,0.93877551,0.939597315,0.939252336,0.940298507,0.941828255,0.941666667,0.941843694,0.944055944,0.943076923,0.944,0.940324692,0.941176471,0.938864629,0.941176471,0.942446043,0.943754159,0.942528736,0.945205479,0.944444444,0.946666667,0.942857143
9,394347,"Atlanta, GA",Msa,0.877742947,0.874819073,0.879245283,0.890906249,0.893176134,0.908519154,0.902654867,0.900131822,0.888989991,0.891132572,0.874613244,0.876190476,0.869565217,0.857040743,0.870967742,0.875739645,0.888888889,0.893633391,0.887400794,0.89958159,0.887424574,0.892857143,0.905660377,0.900608842,0.904477612,0.899280576,0.91491643,0.933022261,0.936992481,0.939223061,0.940363514,0.94375338,0.941176471,0.942751799,0.942857143,0.948837209,0.946306676,0.954738005,0.956521739,0.961538462,0.961923848,0.963302752,0.96350365,0.962956102,0.960707269,0.958164768,0.954773869,0.952108033,0.952780978,0.952,0.955977639,0.962989713,0.967100934,0.965189126,0.962962963,0.958,0.954297282,0.952119112,0.948066187,0.948173186,0.948148148,0.950950951,0.96122449,0.964749536,0.970251716,0.969976905,0.967970634,0.96373057,0.961666667,0.958333333,0.957446809,0.95620438,0.955043548,0.96,0.966425608,0.973977695,0.978571429,0.978520286,0.976401881,0.974196946,0.970285021,0.96969697,0.968280467,0.96612209,0.967069612,0.967311541,0.975870294,0.979360143,0.981970529,0.981299669,0.979277638,0.975609756,0.973632369,0.970615219,0.970588235,0.970277222,0.968278313,0.974842767,0.979421724,0.986666667,0.987692308,0.98679824,0.984848485,0.979986658,0.975
10,394404,"Boston, MA",Msa,0.922579708,0.912197342,0.924885925,0.936283186,0.939253476,0.946808511,0.940911394,0.941896809,0.933748333,0.924643736,0.925925926,0.918794864,0.914961595,0.919565217,0.91654566,0.931034483,0.94527978,0.952919653,0.946201676,0.936812254,0.932276775,0.925976662,0.927397832,0.914578588,0.916102842,0.913188648,0.925261584,0.943852856,0.955044096,0.959244165,0.958909177,0.953710165,0.949853731,0.948298259,0.949689441,0.950095019,0.941176471,0.941792424,0.950407322,0.965702243,0.973333333,0.980468327,0.978035718,0.976085896,0.968888889,0.964974982,0.965789474,0.960647296,0.954704769,0.954096162,0.967530338,0.975487744,0.982259793,0.984182777,0.98173516,0.976422958,0.969756093,0.967731526,0.963636364,0.959634619,0.95625,0.957164674,0.966429298,0.978711244,0.986489747,0.98999935,0.990723562,0.984224404,0.977272727,0.972644377,0.972634508,0.963932852,0.96233694,0.95644269,0.971830508,0.986460348,0.995141102,0.997749437,0.997333333,0.989886204,0.984992424,0.982402509,0.979574823,0.975002438,0.970438937,0.973370741,0.983138039,0.995914198,1,1,1,0.996089502,0.990064013,0.988505747,0.987124464,0.981146595,0.975162527,0.977073396,0.988128492,1,1.000050019,1.000227324,1,0.997749437,0.986311779
11,395057,"San Francisco, CA",Msa,0.964974982,0.974565967,0.978535354,0.970748317,0.97582038,0.972663912,0.972425137,0.963833512,0.964727709,0.960274364,0.957786449,0.942663596,0.9367494,0.940402922,0.95031617,0.95711128,0.961038961,0.963114754,0.961942905,0.95890411,0.955315871,0.960655015,0.959252971,0.958661377,0.959821429,0.965321293,0.978072348,0.986164876,1,1,1.000136209,1,1.000221204,1.005128205,1.010362694,1.003817294,1.010239109,1.017488076,1.037617555,1.048586975,1.057038685,1.0523918,1.045185185,1.033923503,1.024672335,1.016050803,1.009132611,1.000395922,1,1.016904503,1.027173913,1.035017292,1.031540683,1.022604952,1.02003643,1.0112,1.003861004,1.006476032,1.001965395,1,1,1.015069552,1.035294118,1.043620507,1.038610039,1.039074423,1.031578947,1.022972247,1.016728625,1.015873016,1.012844037,1.006410256,1.000003226,1.01754386,1.031506105,1.029449614,1.031314457,1.024675183,1.017557564,1.013369623,1.002506266,1.001800653,1.001112347,1,1,1.01207263,1.02478551,1.029508197,1.032591158,1.026711185,1.026418215,1.024206675,1.018518519,1.023359288,1.021428571,1.018845701,1.014309865,1.034793811,1.04695782,1.045545546,1.047729919,1.039410231,1.026026026,1.014925373,1.009345794
12,394532,"Detroit, MI",Msa,0.883392226,0.877909351,0.885661571,0.879410216,0.889464594,0.890899991,0.901394737,0.909090909,0.903019326,0.897691072,0.886287625,0.884276546,0.893682589,0.89055794,0.904494382,0.893594225,0.909090909,0.908987486,0.912032951,0.916981132,0.916045508,0.914285714,0.910901,0.914454277,0.909090909,0.910746812,0.912301354,0.930066208,0.934417219,0.95,0.952083333,0.954479902,0.953316839,0.945472736,0.94608677,0.944977475,0.944986976,0.947297201,0.944514414,0.959703221,0.96,0.971416557,0.972954699,0.969387755,0.964980545,0.96048024,0.949600846,0.944186047,0.937890788,0.938232995,0.93385214,0.943531094,0.957528958,0.963690714,0.964285714,0.959387875,0.955315871,0.944969427,0.9375,0.934911243,0.933487054,0.923875433,0.933333333,0.947408314,0.960558596,0.962943205,0.964470743,0.958781362,0.952597923,0.950261669,0.939947781,0.938511327,0.934661911,0.935483871,0.943033102,0.958732805,0.963951936,0.968903904,0.971159506,0.967741935,0.96,0.957511283,0.954684294,0.949474398,0.944444444,0.947340706,0.955414013,0.968417728,0.977198697,0.980970645,0.980392157,0.973803526,0.969478842,0.96274682,0.957354221,0.955808919,0.952380952,0.951545554,0.962278676,0.974196946,0.982740001,0.984955487,0.983880867,0.975793714,0.970243748
13,395025,"Riverside, CA",Msa,0.991013218,0.985769629,0.980214227,0.978612999,0.987767126,0.984188448,0.993150685,0.982474944,0.973024948,0.969414204,0.96573317,0.961785073,0.958732805,0.951648326,0.954118874,0.953488372,0.954139735,0.961611555,0.964646465,0.96580072,0.965876229,0.964515361,0.961974582,0.963676798,0.956993111,0.957290133,0.964385848,0.963842604,0.97665555,0.978686385,0.99112612,0.992857143,0.991362374,0.990363134,0.988995853,0.992381685,1,1,0.995580368,1,1,1,1,1,1,0.997186621,0.98459168,0.979574823,0.976627713,0.979363414,0.976470588,0.975308642,0.976470588,0.979220639,0.976494653,0.976084801,0.973154362,0.969355847,0.967058824,0.96370224,0.963606286,0.963704631,0.971830986,0.974910394,0.977777778,0.978947368,0.979180419,0.979574823,0.977419355,0.973959103,0.971706202,0.972222222,0.970149254,0.973584906,0.976272918,0.979166667,0.981491968,0.983606557,0.98366122,0.981525026,0.978723404,0.978931688,0.977728285,0.974,0.974866637,0.977001913,0.978723404,0.983685247,0.987341772,0.988623421,0.988455772,0.986816529,0.984946237,0.983989326,0.982913463,0.981308411,0.980519481,0.98313253,0.987432675,0.986193294,0.988067498,0.988888889,0.986753177,0.983724555,0.979591837
14,394976,"Phoenix, AZ",Msa,0.9325,0.929899857,0.92449923,0.928497333,0.934495949,0.934541182,0.931139522,0.926541447,0.923047326,0.914581536,0.916666667,0.904761905,0.90918486,0.900692841,0.903498191,0.917808219,0.928571429,0.938489209,0.952380952,0.954571912,0.953516091,0.959241102,0.958974359,0.955464834,0.954853273,0.954545455,0.961914305,0.967472894,0.976119403,0.983458173,0.984114366,0.98309546,0.982142857,0.977433902,0.976457999,0.969428105,0.966034407,0.964999125,0.968832324,0.969728066,0.971168437,0.974242749,0.975533333,0.976069414,0.971428571,0.967609676,0.962393436,0.959421202,0.956521739,0.957874571,0.956738287,0.955698799,0.955747198,0.95890411,0.956862745,0.955414013,0.958677686,0.956185567,0.957142857,0.958158996,0.955931394,0.961538462,0.964285714,0.967983992,0.970359392,0.970666667,0.971186762,0.971613641,0.971089696,0.969529086,0.969052829,0.968354666,0.966655552,0.968097223,0.971223022,0.972536421,0.97218173,0.972762646,0.973333333,0.973547326,0.972972973,0.971871614,0.971428571,0.970203402,0.969265264,0.972222222,0.97486888,0.976513149,0.97693703,0.977777778,0.977524614,0.977272727,0.975555556,0.976390556,0.974565494,0.973154362,0.97347155,0.975609756,0.979020979,0.980490245,0.981502454,0.98173516,0.981065723,0.979583503,0.977777778
15,395078,"Seattle, WA",Msa,0.91498345,0.910669334,0.930271331,0.93415295,0.939216846,0.937142857,0.93777423,0.933940774,0.922077922,0.9231976,0.914508837,0.903018613,0.89380531,0.905629018,0.913478111,0.921974661,0.931127357,0.940208493,0.938504512,0.933644548,0.933488915,0.925719934,0.929262502,0.926004594,0.921939552,0.926658294,0.942280042,0.953651217,0.969776038,0.971260333,0.974632844,0.974009097,0.971567367,0.971916972,0.968496241,0.96391559,0.968157354,0.974164274,0.986332574,0.9961092,1,1,1,0.996825397,0.990289143,0.985185185,0.975399223,0.971428571,0.967223917,0.976010604,0.985682274,0.996504364,0.998469873,0.998821798,0.994174757,0.986716829,0.983995258,0.977272727,0.973051353,0.96875,0.974142776,0.984203683,0.998692871,1,1,1,1,1,0.998996249,0.994692399,0.990654206,0.988462206,0.991150442,1,1,1.002956408,1.006496128,1.00156533,1,1,1,1,0.998864418,0.995077629,0.99,1,1.006904488,1.019079816,1.022882255,1.018518519,1.011476936,1.000001818,1,1,1,0.999197143,1,1.00456621,1.019403134,1.02173913,1.022094894,1.010231289,1,1,0.991370939
16,394865,"Minneapolis-St Paul, MN",Msa,0.919399666,0.918557957,0.92013904,0.921812428,0.923880066,0.932905846,0.92591303,0.914377407,0.904687471,0.910620771,0.899025686,0.905407015,0.890879744,0.874826514,0.879792554,0.893073184,0.907023276,0.915532231,0.919224927,0.923076923,0.914007572,0.914197014,0.911313625,0.905056138,0.904761905,0.901093239,0.911772764,0.918766468,0.940908446,0.948112471,0.953846154,0.95328158,0.949981871,0.954257384,0.954981711,0.953488372,0.940113,0.945144552,0.951254025,0.951156812,0.95236583,0.962296931,0.967601653,0.972762646,0.972965666,0.968026661,0.959899749,0.952457865,0.948379352,0.949367089,0.954407295,0.966666667,0.975135564,0.978565461,0.974196946,0.96865751,0.964445934,0.965285775,0.959158142,0.953846154,0.948062462,0.959493671,0.968678954,0.975370499,0.982625325,0.984496124,0.981597546,0.976349303,0.972222222,0.967741935,0.963238716,0.958476052,0.962264151,0.965306122,0.974993748,0.984490897,0.992534381,0.994548178,0.996085254,0.98820059,0.983107251,0.978835979,0.975181367,0.969355847,0.965340777,0.966936766,0.984728805,0.999679124,1,1,1,0.996292097,0.989130435,0.985505784,0.979574823,0.976164652,0.972930561,0.978635684,1,1,1,1,1,1,0.995315062
